,Brand,Title,Name,Price,Rating,URL,Description,Clean_Text
38,FTX,Pack of 4 Men Solid Round Neck Multicolor T-Shirt,FTX Solid Men Round Neck Multicolor T-Shirt,419.0,4.1,https://www.flipkart.com/ftx-solid-men-round-neck-multicolor-t-shirt/p/itm0d9912f6ddf05,FTX Solid Men Round Neck Multicolor T-Shirt Pack of 4 Men Solid Round Neck Multicolor T-Shirt,solid neck pack round multicolor ftx men tshirt
39,EyeBogler,Men Striped Polo Neck Blue T-Shirt,EyeBogler Striped Men Polo Neck Blue T-Shirt,299.0,3.8,https://www.flipkart.com/eyebogler-striped-men-polo-neck-blue-t-shirt/p/itm186f6204480bb,EyeBogler Striped Men Polo Neck Blue T-Shirt Men Striped Polo Neck Blue T-Shirt,polo neck blue stripe eyebogl men tshirt
40,BLIVE,Men Printed Round Neck Grey T-Shirt,BLIVE Printed Men Round Neck Grey T-Shirt,169.0,3.7,https://www.flipkart.com/blive-printed-men-round-neck-grey-t-shirt/p/itm524bc4fd73e68,BLIVE Printed Men Round Neck Grey T-Shirt Men Printed Round Neck Grey T-Shirt,neck print round grey blive men tshirt
41,VeBNoR,Men Printed Round Neck Dark Green T-Shirt,VeBNoR Printed Men Round Neck Dark Green T-Shirt,269.0,4.1,https://www.flipkart.com/vebnor-printed-men-round-neck-dark-green-t-shirt/p/itmf84c47baddecf,VeBNoR Printed Men Round Neck Dark Green T-Shirt Men Printed Round Neck Dark Green T-Shirt,neck green print round vebnor men tshirt dark
42,Try This,Women Slim Fit Graphic Print Mandarin Collar Casual Shirt,Try This Women Graphic Print Casual Black Shirt,369.0,3.6,https://www.flipkart.com/try-women-graphic-print-casual-black-shirt/p/itmb01a8e8c7a320,Try This Women Graphic Print Casual Black Shirt Women Slim Fit Graphic Print Mandarin Collar Casual Shirt,graphic tri collar slim mendarin fit black print woman shirt casual
43,EVIQE,Men Regular Fit Solid Mandarin Collar Casual Shirt,EVIQE Men Solid Casual White Shirt,349.0,3.9,https://www.flipkart.com/eviqe-men-solid-casual-white-shirt/p/itm76d1bc7b1d762,EVIQE Men Solid Casual White Shirt Men Regular Fit Solid Mandarin Collar Casual Shirt,solid collar eviq regular mendarin white fit men shirt casual
44,NB NICKY BOY,Men Typography Hooded Neck Yellow T-Shirt,NB NICKY BOY Typography Men Hooded Neck Yellow T-Shirt,239.0,4.0,https://www.flipkart.com/nb-nicky-boy-printed-men-hooded-neck-yellow-t-shirt/p/itmee09e63fea7cb,NB NICKY BOY Typography Men Hooded Neck Yellow T-Shirt Men Typography Hooded Neck Yellow T-Shirt,hood neck nb typographi boy men yellow tshirt nicki
45,Smartees,Men Solid Round Neck Black T-Shirt,Smartees Solid Men Round Neck Black T-Shirt,239.0,4.0,https://www.flipkart.com/smartees-solid-men-round-neck-black-t-shirt/p/itm32b3d040b7849,Smartees Solid Men Round Neck Black T-Shirt Men Solid Round Neck Black T-Shirt,solid neck round smartshirt black men tshirt
46,EyeBogler,Men Color Block Round Neck Grey T-Shirt,EyeBogler Color Block Men Round Neck Grey T-Shirt,279.0,3.8,https://www.flipkart.com/eyebogler-color-block-men-round-neck-grey-t-shirt/p/itm6886de85edca9,EyeBogler Color Block Men Round Neck Grey T-Shirt Men Color Block Round Neck Grey T-Shirt,neck round grey eyebogl color men block tshirt
47,Try This,Men Color Block Polo Neck Dark Blue T-Shirt,Try This Color Block Men Polo Neck Dark Blue T-Shirt,259.0,3.8,https://www.flipkart.com/try-color-block-men-polo-neck-dark-blue-t-shirt/p/itm388406c2a6453,Try This Color Block Men Polo Neck Dark Blue T-Shirt Men Color Block Polo Neck Dark Blue T-Shirt,polo tri neck blue color men block tshirt dark
48,JUGULAR,Men Striped Round Neck Light Green T-Shirt,JUGULAR Striped Men Round Neck Light Green T-Shirt,289.0,4.0,https://www.flipkart.com/jugular-striped-men-round-neck-light-green-t-shirt/p/itm14ef431002573,JUGULAR Striped Men Round Neck Light Green T-Shirt Men Striped Round Neck Light Green T-Shirt,neck light green round jugular stripe men tshirt
49,TRIPR,Men Printed Round Neck Black T-Shirt,TRIPR Printed Men Round Neck Black T-Shirt,209.0,4.2,https://www.flipkart.com/tripr-printed-men-round-neck-black-t-shirt/p/itm89cec78774279,TRIPR Printed Men Round Neck Black T-Shirt Men Printed Round Neck Black T-Shirt,neck tripr print round black men tshirt
50,BLIVE,"Pack of 2 Men Printed Round Neck Black, Grey T-Shirt","BLIVE Printed Men Round Neck Black, Grey T-Shirt",299.0,3.7,https://www.flipkart.com/blive-printed-men-round-neck-black-grey-t-shirt/p/itme306a272543b5,"BLIVE Printed Men Round Neck Black, Grey T-Shirt Pack of 2 Men Printed Round Neck Black, Grey T-Shirt",neck print round pack grey blive black men tshirt
51,BLIVE,Men Color Block Mandarin Collar Black T-Shirt,BLIVE Color Block Men Mandarin Collar Black T-Shirt,269.0,3.8,https://www.flipkart.com/blive-color-block-men-mandarin-collar-black-t-shirt/p/itmf2b3327b8000a,BLIVE Color Block Men Mandarin Collar Black T-Shirt Men Color Block Mandarin Collar Black T-Shirt,collar mendarin blive color black men block tshirt
53,London Hills,Men Solid Round Neck Black T-Shirt,London Hills Solid Men Round Neck Black T-Shirt,219.0,4.0,https://www.flipkart.com/london-hills-solid-men-round-neck-black-t-shirt/p/itmf5hmhfzgbwxtg,London Hills Solid Men Round Neck Black T-Shirt Men Solid Round Neck Black T-Shirt,hill solid neck round london black men tshirt
54,NB NICKY BOY,"Men Printed, Color Block Hooded Neck Red, Black T-Shirt","NB NICKY BOY Printed, Color Block Men Hooded Neck Red, Black T-Shirt",249.0,3.9,https://www.flipkart.com/nb-nicky-boy-printed-color-block-men-hooded-neck-red-black-t-shirt/p/itmc8fe4dba9cbc1,"NB NICKY BOY Printed, Color Block Men Hooded Neck Red, Black T-Shirt Men Printed, Color Block Hooded Neck Red, Black T-Shirt",hood neck red print nb boy color black men block tshirt nicki
55,EyeBogler,"Men Checkered Polo Neck White, Blue T-Shirt","EyeBogler Checkered Men Polo Neck White, Blue T-Shirt",389.0,4.0,https://www.flipkart.com/eyebogler-checkered-men-polo-neck-white-blue-t-shirt/p/itm2ddd8d86b85dc,"EyeBogler Checkered Men Polo Neck White, Blue T-Shirt Men Checkered Polo Neck White, Blue T-Shirt",polo neck white blue eyebogl checker men tshirt
56,BLIVE,"Men Striped Round Neck Dark Blue, White T-Shirt","BLIVE Striped Men Round Neck Dark Blue, White T-Shirt",209.0,3.8,https://www.flipkart.com/blive-striped-men-round-neck-dark-blue-white-t-shirt/p/itm4117e9b595ec2,"BLIVE Striped Men Round Neck Dark Blue, White T-Shirt Men Striped Round Neck Dark Blue, White T-Shirt",neck round white blue stripe blive men tshirt dark
57,Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,Majestic Man Men Checkered Casual Brown Shirt,469.0,4.1,https://www.flipkart.com/majestic-man-men-checkered-casual-brown-shirt/p/itm37cf0de601743,Majestic Man Men Checkered Casual Brown Shirt Men Slim Fit Checkered Spread Collar Casual Shirt,majest spread collar slim fit checker brown men shirt casual
58,Smartees,Men Solid Round Neck Black T-Shirt,Smartees Solid Men Round Neck Black T-Shirt,239.0,4.0,https://www.flipkart.com/smartees-solid-men-round-neck-black-t-shirt/p/itm2a2a4004f2f8d,Smartees Solid Men Round Neck Black T-Shirt Men Solid Round Neck Black T-Shirt,solid neck round smartshirt black men tshirt
59,MOONVELLY,Men Solid Polo Neck Purple T-Shirt,MOONVELLY Solid Men Polo Neck Purple T-Shirt,299.0,3.8,https://www.flipkart.com/moonvelly-solid-men-polo-neck-purple-t-shirt/p/itm9647a67f19b7e,MOONVELLY Solid Men Polo Neck Purple T-Shirt Men Solid Polo Neck Purple T-Shirt,polo solid neck purpl moonvelli men tshirt
60,Try This,"Men Typography Round Neck White, Grey T-Shirt","Try This Typography Men Round Neck White, Grey T-Shirt",269.0,3.9,https://www.flipkart.com/try-typography-men-round-neck-white-grey-t-shirt/p/itmbed3c24a08b7e,"Try This Typography Men Round Neck White, Grey T-Shirt Men Typography Round Neck White, Grey T-Shirt",tri neck round white typographi grey men tshirt
61,FARBOT,Full Sleeves Hooded Tshirt for men Men Solid Hooded Neck Black T-Shirt,FARBOT Solid Men Hooded Neck Black T-Shirt,179.0,4.0,https://www.flipkart.com/farbot-solid-men-hooded-neck-black-t-shirt/p/itmbdcf3fc80a1d1,FARBOT Solid Men Hooded Neck Black T-Shirt Full Sleeves Hooded Tshirt for men Men Solid Hooded Neck Black T-Shirt,farbot solid hood neck sleev full black men tshirt
62,EyeBogler,Men Printed Hooded Neck Maroon T-Shirt,EyeBogler Printed Men Hooded Neck Maroon T-Shirt,299.0,4.2,https://www.flipkart.com/eyebogler-printed-men-hooded-neck-maroon-t-shirt/p/itm59e0c259aa36b,EyeBogler Printed Men Hooded Neck Maroon T-Shirt Men Printed Hooded Neck Maroon T-Shirt,neck hood print maroon eyebogl men tshirt
63,EyeBogler,Eyebogler Loose fit Hooded Mens T-shirt Men Printed Hooded Neck Black T-Shirt,EyeBogler Printed Men Hooded Neck Black T-Shirt,299.0,4.3,https://www.flipkart.com/eyebogler-printed-men-hooded-neck-black-t-shirt/p/itm02f9f558b0459,EyeBogler Printed Men Hooded Neck Black T-Shirt Eyebogler Loose fit Hooded Mens T-shirt Men Printed Hooded Neck Black T-Shirt,neck hood print fit eyebogl loos black men men tshirt
64,VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,VeBNoR Men Solid Casual Maroon Shirt,329.0,3.9,https://www.flipkart.com/vebnor-men-solid-casual-maroon-shirt/p/itmfcf2aa388805a,VeBNoR Men Solid Casual Maroon Shirt Men Regular Fit Solid Spread Collar Casual Shirt,solid spread collar regular fit maroon vebnor men shirt casual
65,AUSK,"Men Color Block Round Neck Light Blue, White T-Shirt","AUSK Color Block Men Round Neck Light Blue, White T-Shirt",289.0,4.0,https://www.flipkart.com/ausk-color-block-men-round-neck-light-blue-white-t-shirt/p/itm00f4c720f54cd,"AUSK Color Block Men Round Neck Light Blue, White T-Shirt Men Color Block Round Neck Light Blue, White T-Shirt",ausk neck light round white blue color men block tshirt
66,VeBNoR,Men Regular Fit Solid Mandarin Collar Casual Shirt,VeBNoR Men Solid Casual Light Blue Shirt,379.0,4.0,https://www.flipkart.com/vebnor-men-solid-casual-light-blue-shirt/p/itm8362750a1e4d6,VeBNoR Men Solid Casual Light Blue Shirt Men Regular Fit Solid Mandarin Collar Casual Shirt,solid collar regular light mendarin fit vebnor blue men shirt casual
67,HANUMNTRA,Men Regular Fit Printed Spread Collar Casual Shirt,HANUMNTRA Men Printed Casual White Shirt,409.0,4.1,https://www.flipkart.com/hanumntra-men-printed-casual-white-shirt/p/itma1b53100befa6,HANUMNTRA Men Printed Casual White Shirt Men Regular Fit Printed Spread Collar Casual Shirt,spread collar regular print white fit hanumntra men shirt casual
68,NB NICKY BOY,Men Printed Hooded Neck White T-Shirt,NB NICKY BOY Printed Men Hooded Neck White T-Shirt,239.0,4.0,https://www.flipkart.com/nb-nicky-boy-printed-men-hooded-neck-white-t-shirt/p/itmb60c0ed01d4f5,NB NICKY BOY Printed Men Hooded Neck White T-Shirt Men Printed Hooded Neck White T-Shirt,hood neck print white nb boy men tshirt nicki
69,EyeBogler,"T410 Men Printed Hooded Neck Blue, Black T-Shirt","EyeBogler Printed Men Hooded Neck Blue, Black T-Shirt",289.0,4.1,https://www.flipkart.com/eyebogler-printed-men-hooded-neck-blue-black-t-shirt/p/itm601252e07cec7,"EyeBogler Printed Men Hooded Neck Blue, Black T-Shirt T410 Men Printed Hooded Neck Blue, Black T-Shirt",neck hood print blue eyebogl black men tshirt
